id,status,source
Hans Van Asbrock,master,
Antoon Steps,master,
Abraham Sdrooghen,master,
Jan Van Waelant,master,
Louis Catalyn,apprentice,
Jacques Faydherbe,apprentice,
Arnold Van Overstraeten,master,
Peter Busset,dean,
Jan Lenaerts,dean,
Jan Baptist Claessens,dean,
Joos Van den Bossche,apprentice,
Louis De Vleeshouwer,master,
Joos Baptist Willeman,master,
Philips Machobeus,apprentice,
Claude Rosel,apprentice,
Michiel Van Werckhoven,master,
Germeyn Somers,master,
Jan Baptist De Coninck,master,
Servaes Coels,master,
Andries Broeckmans,master,
Bastiaen Van Assche,dean,
Elias Geeraerts,dean,
Peter Cempen,dean,
Jacob Van den Dries,master,
Thomas Cortinck,master,
Jan Van der Bruggen,apprentice,
Peter De Clerck,master,
Jan Geeraerts,dean,
Francois Raventarie,apprentice,
Abraham Van Avont,master,
Nicolaes Artois,master,
Adriaen Van den Broeck,apprentice,
Adriaen Goerries,apprentice,
Raphael Van Arssen,master,
Willem Geeraerts,apprentice,
Hans Goddaert,dean,
Erasmus Lysmont,dean,
Severyn De Kegel,dean,
Otto Van Veen,master,
Huybrecht Van Waeyenbergh,master,
Vincent Leers,master,
Nicolaes Bertreyn,master,
Hendrick Rota,master,
Michiel Geeraerts,master,
Francois Thierlinckx,master,
Francois Van der Borcht,master,
Gerard Snellinckx,master,
Nicolaes Crick,master,
Carel De Kemp,apprentice,
Hendrick Kegelaer,master,
Carel Ignatius Van Eefbergh,apprentice,
Michiel Benoot,master,
Huybrecht De Vadder,dean,
Francois De Clerck,dean,
Jan De Moralis,dean,
Willem Van Wede,master,
Nicolaes Van den Hecke,masters sons,
Ambrosius ,master,
Peter Capuyns,master,
Gaspar Levens,master,
Jan Baptist De Wolf,master,
Romeyn Sanglier,master,
Gaspar Van Anderhaeghen,master,
Michiel Bauwens,master,
Nicolaes Letaer,master,
Alexander Vermeulen,apprentice,
Godfried Allaert,master,
Nicolaes Yperseel,apprentice,
Johan Bourguignon,master,
Jan Ringheler,apprentice,
Philips Reyniers,master,
Nicolaes Geraes,apprentice,
Francois Van Dipeldal,master,
Jacques Van Severpel,dean,
Robert Maltum,dean,
Gillis Sandes,dean,
Cornelis Jacobs,master,
Francois Morren,master,
Baptist Eghets,master,
Jan Doms,master,
Michiel Hardies,master,
Nicolaes Van Yperseel,master,
Jan Moenne,apprentice,
Adam Ditman,master,
Jan Hubert,dean,
Francois Van den Couter,dean,
Wouter Janssens,dean,
Hendrick Lierinck,master,
Jan Baptist Torel,master,
Joris Vylant,master,
Willem Van den Eynde,master,
Jacob Bosdonck,master,
Joos De Neck,apprentice,
Jan Baptist Gillis,master,
Jan De Haese,apprentice,
Roeland Van der Schaemp,master,
Jacques Triccot,apprentice,
Jan Van der Vinne,master,
Francois Laureys,apprentice,
Thomas Verhasselt,master,
Augustyn De Boeck,apprentice,
Jacob Hanebal,master,
Peter Laseer,apprentice,
Jan Ordas,master,
Nicolaes Tassaert,dean,
Jacques Du Fay,dean,
Michiel De Sainneville,dean,
Simon Lemmens,dean,
Jacques Loots,master,
Nicolaes Schinckels,master,
Philips Ernest Pelgrin,master,
Francois Dervau,master,
Francois Le Grand,master,
Jean Le Corbisier,master,
Andries Peter Du Bael,master,
Augustyn Van der Keersen,master,
Francois Van den Bemde,apprentice,
Passchier Luppens,master,
Reynier Meganck,apprentice,
Peter Eyckens,master,
Francois Schoevaert,dean,
Paulus Van den Bossche,dean,
Lucas Waeykarts,dean,
Francois Verbelen,master,
Francois Van Niverseel,master,
Peter Van Gindertaelen,master,
Olivier De Coene,apprentice,
Jan Meetens,master,
Angelus De Clerck,dean,
Gelaude Munier,dean,
Jan Goriels,dean,
Maerten Coeruchant,apprentice,
Jan Gillissone,master,
Denys Le Moen,dean,
Gaerele Van Bonter,dean,
Gillis Van Waeyenbergh,dean,
Louis De Peuter,master,
Louis Van den Pleyne,apprentice,
Gratiaen De Meester,master,
Hieronymus Fluffens,apprentice,
Jan Van Aelst,master,
Maerten Van der Venne,master,
Jan De Duyts,master,
Nicolaes Van Bogarden,dean,
Dirick Janssens,dean,
Jan De Roy,dean,
Francois De Roota,master,
Jacob Marchant,master,
Peter De Vulder,master,
Nicolaes Sibrecht,apprentice,
Jan Welcher,master,
Theodoor Manteau,apprentice,
Hans Monckernet,master,
Maximiliaen De Groete,apprentice,
Jan Fremont,master,
Jacob Van Seulper,master,
Jacques De Clerck,apprentice,
Hendrick De Clerck,master,
Gelaude Cannaut,apprentice,
Adriaen Rombouts,master,
Ignatius De Backer,apprentice,
Augustyn De Joncker,master,
Augustyn Requerant,master,
Matthys Le Roy,master,
Jacques Van der Laemen,apprentice,
Hendrick Leuvens,master,
Albert De Ruyt,master,
Melchior De la Marche,master,
Antoon Leson,apprentice,
Adriaen Baudewyns,master,
Johannes Baptist Van Diest,master,
Pierre Eusache,apprentice,
Balthasar Leshayeer,master,
Philips De Craen,apprentice,
Philips Van der Baeren,master,
Maria De Waeyer,masters sons,
Jan De Sanghere,master,
Jan Van Vollesom,masters sons,
Peter Van der Plas,master,
Jacques Tefeurs,master,
Hans De Smedt,master,
Jan Van Berlaghe,master,
Hans Van Kelegem,master,
Ambrosius Van der Venne,master,
Eduaert Brom,master,
Hans Van Overstraeten,master,
Jan Happaert,apprentice,
Antoon Van den Hecke,master,
Gillis Bossuyt,master,
Denys Chounre,master,
Gerard Van Serpenbergh,master,
Philips Pickaert,apprentice,
Cornelis De Pooter,master,
Jacob De Bruyn,apprentice,
Matthys Schers,master,
Michiel De Noye,apprentice,
Joos Dirckx,master,
Johannes Maes,apprentice,
Francois Reydams,master,
Jan Van Gindertaelen,master,
Jan De Potter,apprentice,
Jan Battelier,master,
Peter Schuyle,master,
Willem Van Liefde,apprentice,
Francois Matthysens,master,
Jan Baptist Herquiau,master,
Philips Reps,apprentice,
Charles De Croy,master,
Jacob De Peuter,apprentice,
Antoon Van Berenbroeck,master,
Simon Hardies,apprentice,
Hans Van Bentem,master,
Gaspar Boerchhet,apprentice,
Ambrosius Van der Wienrien,master,
Willem Van Beyeren,apprentice,
Daniel De Beet,master,
Peter Symons,apprentice,
Willem Lesterbos,master,
Peter Van der Vecken,master,
Nicolaes Michels,apprentice,
Jan Van Cottem,master,
Peter Van Conincxloo,masters sons,
Joos Van Dooren,apprentice,
Geleyn Van Dooren,master,
Jan Van der Borcht,master,
Peter Beser,apprentice,
Francois De Gruyter,master,
Maerten Lambillot,apprentice,
Peter Francois Carega,master,
Willem Lauwers,master,
Jacques Wauters,apprentice,
Antoon Van Beveren,master,
Willem Niemans,master,
Lucas Van der Straeten,apprentice,
Gillis Van der Nieuwerstadt,dean,
Jan Baptist Van Geel,apprentice,
Philips Van Dapels,master,
Cornelis Van den Dries,apprentice,
Jan Claessens,master,
Willem Moreau,master,
Nicolaes De Smedt,apprentice,
Alexander Levens,masters sons,
Jan Gerard Du Chateau,master,
Jacob Van Haettem,master,
Nicolaes Pletinckx,master,
Dirick Caussens,master,
Cornelis Floris,master,
Cesar Hermans,apprentice,
Peter Van Waetom,master,
