source,source_status,target,target_status,source_entry
Ignatius Van der Stock,apprentice,Louis De Vadder,master,00001653G
Louis Reysels,apprentice,Steven Stekeldoore,master,00001653H
Jan Baptist Sallaert,master,Peter La Court,apprentice,00001653I
Jan Denens,apprentice,Peter Meerts,master,00001653J
Francisco Martini,master,Louis Hernese Janvier,apprentice,00001653K
Jacob Rubens,apprentice,Peter Snayers,master,00001653L
Willem De Gyn,apprentice,Willem Van Schoor,master,00001653M
Alexander Van Avont,master,Antoon Stroobant,apprentice,00001653N
Antoon Van Opstal,master,Stefano Gillis,apprentice,00001653O
 Leyniers,apprentice,Jan Jacobs,master,00001653P
Jan Baptist Sallaert,dean,Jan Van Rillaert,dean,00001653Q
Daniel Leyniers,dean,Jan Van Rillaert,dean,00001653Q
Daniel Leyniers,dean,Jan Baptist Sallaert,dean,00001653Q
Hendrick Huysmans,apprentice,Jan Baptist Sallaert,master,00001653R
Daniel Van Heil,dean,Jacob Godsvriendt,dean,1654
Christoffel Goffin,dean,Daniel Van Heil,dean,1654
Christoffel Goffin,dean,Jacob Godsvriendt,dean,1654
Jacques Antoon De Meester,dean,Jacques Nyts,dean,1655
Antoon Van den Bossche,dean,Jacques Nyts,dean,1655
Antoon Van den Bossche,dean,Jacques Antoon De Meester,dean,1655
Jacques Nyts,dean,Jan Claerbodts,dean,1656
Jacques Antoon De Meester,dean,Jacques Nyts,dean,1656
Jacques Antoon De Meester,dean,Jan Claerbodts,dean,1656
Antoon Van den Bossche,dean,Jacques Nyts,dean,1656
Antoon Van den Bossche,dean,Jacques Antoon De Meester,dean,1656
Antoon Van den Bossche,dean,Jan Claerbodts,dean,1656
Jan Baptist Sallaert,dean,Jan Van Opstal,dean,1657
Jan Baptist Sallaert,dean,Matthys Van den Bosch,dean,1657
Jan Van Opstal,dean,Matthys Van den Bosch,dean,1657
Jan Baptist Sallaert,dean,Jan Van Opstal,dean,1658
Jan Baptist Sallaert,dean,Matthys Van den Bosch,dean,1658
Jan Van Opstal,dean,Matthys Van den Bosch,dean,1658
Daniel Leyniers,dean,Peter [b] Van Gindertaelen,dean,1659
Carel De Swert,dean,Daniel Leyniers,dean,1659
Carel De Swert,dean,Peter [b] Van Gindertaelen,dean,1659
Jan Arys,dean,Jan Claerbodts,dean,1660
Engel Van den Bosch,dean,Jan Arys,dean,1660
Engel Van den Bosch,dean,Jan Claerbodts,dean,1660
Cornelis Kerckjans,dean,Hendrick Van Bronckhorst,dean,00001661A
Cornelis Kerckjans,dean,Jan Cortois,dean,00001661A
Hendrick Van Bronckhorst,dean,Jan Cortois,dean,00001661A
Francois Van Elewyck,apprentice,Peter Van der Borcht,master,00001661B
Coryn Haccadron,apprentice,Willem Piscador,master,00001661D
Cornelis Kerckjans,dean,Hendrick Van Bronckhorst,dean,1662
Cornelis Kerckjans,dean,Jan Cortois,dean,1662
Hendrick Van Bronckhorst,dean,Jan Cortois,dean,1662
Gillis Van Tilborgh,dean,Jan Raes,dean,00001663A
Gillis Van Tilborgh,dean,Matthys Van den Steen,dean,00001663A
Jan Raes,dean,Matthys Van den Steen,dean,00001663A
Jan [b] Jacobs,master,Peter Van der Maelen,apprentice,00001663B
Francois Volders,apprentice,Lucas Achtschellinck,master,00001664A
Francois Le Pies,apprentice,Gillis Van Tilborgh,master,00001664B
Francois Ysenbaut,dean,Jan Gillis,dean,00001665A
Francois Ysenbaut,dean,Melchior Sallaert,dean,00001665A
Jan Gillis,dean,Melchior Sallaert,dean,00001665A
Jan Cortois,dean,Peter Van den Winckel,dean,00001667A
Hendrick Van Bronckhorst,dean,Jan Cortois,dean,00001667A
Hendrick Van Bronckhorst,dean,Peter Van den Winckel,dean,00001667A
Jan Cortois,dean,Jan [b] Raes,dean,1668
Jan Cortois,dean,Peter Van den Winckel,dean,1668
Jan [b] Raes,dean,Peter Van den Winckel,dean,1668
Hendrick Van Bronckhorst,dean,Jan Cortois,dean,1668
Hendrick Van Bronckhorst,dean,Jan [b] Raes,dean,1668
Hendrick Van Bronckhorst,dean,Peter Van den Winckel,dean,1668
Daniel Vaillant,dean,Willem Piscador,dean,1669
Artus De Kemp,dean,Daniel Vaillant,dean,1669
Artus De Kemp,dean,Willem Piscador,dean,1669
Christoffel Goffin,dean,Jan Gillis,dean,00001670A
Christoffel Goffin,dean,Jan [b] Raes,dean,00001670A
Jan Gillis,dean,Jan [b] Raes,dean,00001670A
Francois Coppens,master,Judocus De Ridder,apprentice,00001670B
Bartholomeus Cortois,apprentice,Hendrick Van den Steen,master,00001670C
Antoon Van Noye,apprentice,Willem Piscador,master,00001670D
Jacob Carlier,apprentice,Jan Gillis,master,00001670E
Artus De Kemp,master,Jan Baptist Huygens,apprentice,00001670F
